Road,Number_of_Fees(sheet/day),Total_Parking_Hours(hours/day),Number_of_Parking_Space,Hours_per_sheet,Time_Start,Time_End,Interval,Space_efficiency
汀州路四段23巷,4.044226044,9.538083538,3.14987715,2.358444714,9:00,17:00,8,37.90%
汀州路一段A,33.59247889,50.28242517,36.34996163,1.496835805,9:00,17:00,8,17.30%
汀州路一段B,26.79254302,49.60994264,36.89866157,1.851632471,9:00,17:00,8,16.80%
汀洲路二段,7.648301194,15.640955,4.354453627,2.045023412,9:00,17:00,8,44.90%
通河東街1段,78.94444444,78.94444444,218.1666667,1,9:00,17:00,8,4.50%
通河東街2段,81.83333333,81.83333333,225.3333333,1,9:00,17:00,8,4.50%
通河西街1段,49.82853855,37.51898734,142.0034522,0.752961825,9:00,17:00,8,3.30%
通河西街2段,94.73678161,75.24137931,372.5206897,0.794215067,9:00,17:00,8,2.50%
通河西街一段堤外平面停車場,22.5879397,13.92127303,39.8040201,0.616314423,9:00,17:00,8,4.40%
通化街,21.38393574,48.81044177,13.037751,2.282575217,7:00,20:00,13,28.80%
同德路,44.63120567,59.87234043,40.78014184,1.341490545,9:00,17:00,8,18.40%
銅山街,4.823529412,13.94117647,2.941176471,2.890243902,7:00,20:00,13,36.50%
萬大路,145.2977011,213.1034483,179.2781609,1.466667721,9:00,17:00,8,14.90%
萬大路277巷33弄,8.56,16.62,20.52,1.941588785,9:00,17:00,8,10.10%
萬大路344巷,39.31034483,95.61149425,60.48735632,2.432222222,9:00,17:00,8,19.80%
萬大路423巷,13.41993958,18.71148036,11.71299094,1.394304367,7:00,20:00,13,12.30%
萬大平面廣場,86.19770115,208.9264368,162.0321839,2.423805206,9:00,17:00,8,16.10%
萬芳八號公園,24.68,24.68,120.22,1,0:00,9:00,9,2.30%
萬華火車站前廣場,46.22595597,82.69293163,47.07068366,1.788885268,9:00,17:00,8,22.00%
萬華火車站週邊,49.30574713,84.37241379,56.58505747,1.711208504,9:00,17:00,8,18.60%
萬美街1段,27.27480916,51.2519084,84.59541985,1.879093199,9:00,17:00,8,7.60%
萬青街,1.928921569,3.575980392,1.200980392,1.853875476,0:00,9:00,9,33.10%
萬慶平面廣場,16.85696822,35.03422983,27.09290954,2.078323301,9:00,17:00,8,16.20%
萬全街,6.666666667,8.666666667,10,1.3,9:00,17:00,8,10.80%
渭水路,22.78045977,39.81494253,13.32528736,1.747767294,7:00,20:00,13,23.00%
渭水路3巷,43.44597701,99.16321839,33.74022989,2.282448807,7:00,20:00,13,22.60%
文昌街,8.772020725,8.772020725,8.834196891,1,7:00,20:00,13,7.60%
文昌路,37.34236453,58.46633826,27.37438424,1.565683882,9:00,17:00,8,26.70%
文德路,9.666666667,15.4375,7.96875,1.596982759,9:00,17:00,8,24.20%
文德路101巷,4.91598916,9.850948509,2.991869919,2.003858875,0:00,9:00,9,36.60%
文湖街,87.44047619,176.9047619,106.5119048,2.023144997,9:00,17:00,8,20.80%
文化三路,17.125,17.125,25.29166667,1,9:00,17:00,8,8.50%
文林北路,43.77006312,16.48241659,91.70694319,0.376568262,9:00,17:00,8,2.20%
文林路,9.534223706,2.868113523,20.59933222,0.300822973,9:00,17:00,8,1.70%
文林路A含機車,257.6409214,257.6409214,212.5352304,1,7:00,20:00,13,9.30%
文林路B,70.14880952,114.0845238,56.43095238,1.626321595,7:00,20:00,13,15.60%
臥龍街,96.59051724,241.7618534,80.62392241,2.502956401,7:00,18:00,11,27.30%
臥龍街,96.59051724,241.7618534,80.62392241,2.502956401,9:00,17:00,8,37.50%
臥龍街272巷,12.92783505,27.92783505,17,2.160287081,9:00,17:00,8,20.50%
吳興街,14.24395857,35.59378596,16.716916,2.498868961,9:00,17:00,8,26.60%
吳興街220巷,46.48493151,89.6369863,61.58356164,1.928301998,7:00,21:00,14,10.40%
吳興街600巷平面,18.4350348,56.96403712,27.00232019,3.089988044,9:00,17:00,8,26.40%
五常公園周邊,30.71724138,73.9816092,52.13793103,2.408471786,9:00,17:00,8,17.70%
五常街,84.09682948,154.117395,94.89203085,1.832618376,9:00,17:00,8,20.30%
五常街53巷,22.34022989,37.28045977,26.36781609,1.668759004,9:00,17:00,8,17.70%
五分街,6.071428571,11.42857143,3.523809524,1.882352941,9:00,17:00,8,40.50%
五原路,13.49919094,14.20307443,8.058252427,1.052142643,9:00,17:00,8,22.00%
武昌街一段A（累進計時）,18.49706228,22.11985899,8.646298472,1.195857951,9:00,17:00,8,32.00%
武昌街一段B（含機車）,241.702346,241.702346,224.4369501,1,7:00,20:00,13,8.30%
武昌街一段C（含機車）,223.9540481,223.9540481,216.5733042,1,7:00,20:00,13,8.00%
西藏路125巷,47.48259494,107.6946203,74.04984177,2.268086241,7:00,18:00,11,13.20%
西藏路199巷,40.03908046,91.73103448,82.24137931,2.291037492,9:00,17:00,8,13.90%
西藏路A,161.6856823,186.1454139,133.2751678,1.151279515,3:00,17:00,14,10.00%
西藏路B,69.5816092,108.7609195,91.99885057,1.563069909,9:00,17:00,8,14.80%
西藏路C,71.78766589,109.0327869,100.0405933,1.518823401,9:00,17:00,8,13.60%
西昌街,43.22916667,77.77741228,57.05592105,1.799188332,9:00,17:00,8,17.00%
西寧北路Y00,136.1413043,219.2749361,92.40217391,1.610642245,7:00,20:00,13,18.30%
西寧北路Z00,25.75763547,36.21871921,34.60295567,1.406135251,8:00,17:00,9,11.60%
