Road,Number_of_Parking_Space,Hours_per_sheet,Space_efficiency,Road_Start,Road_End
復興南路一段A,15.86513995,1.435249941,18.90%,市民大道,八德路
復興南路一段B,8.917954816,1.123983349,18.00%,市民大道,忠孝東路四段
甘谷街,3.888888889,2.75,20.50%,塔城街,延平北路1段
甘州街,50.93103448,1.43030303,18.20%,涼州街,歸綏街
港華街,38.15625,2.73015873,26.40%,內湖路1段411巷,港墘路
港墘路,14.8781407,1.698994586,23.20%,環山路2段,堤頂大道2段
港墘路221巷,153.3621684,1.383355361,8.20%,港墘路,陽光街
公園路A（計時）,13.56351039,1.752021899,30.00%,貴陽街,愛國西路
公園路B（含機車）,74.51856946,1.000791917,18.10%,忠孝西路,襄陽路
牯嶺街A,100.1950596,1.925988171,25.10%,重慶南路二段,和平西路一段
牯嶺街YB0,52.70574713,2.169873207,24.20%,汀州路,水源路
牯嶺街ZB0,12.7852349,1.705845493,25.00%,和平西路,汀州路
關渡路,104.0625,1,5.10%,大度路3段,知行路
觀山堤外（5號水門）,487.0804598,0.368236207,6.00%,汽車,
觀山堤外（6號水門）,699.4413793,0.416182248,1.10%,汽車,
館前路（含機車）,53.84100418,1.006486433,15.80%,漢口街,襄陽路
光復北路,279.7469136,1.771387182,7.50%,民權東路四段,健康路
光復北路11巷,37.9499561,2.044421797,24.30%,吉祥路,光復北路
光復北路190巷,97.76551724,2.368432734,22.00%,光復北路,健康路15巷
光復北路230巷,21.63234111,2.082595183,15.30%,光復北路,敦化北路199巷
光復南路A,7.33640553,1.425326103,25.50%,市民大道五段,八德路四段
光復南路B,32.89959514,1.719354336,16.70%,忠孝東路,基隆路
光明路,30.93,0.947600662,6.90%,育仁路,溫泉路72巷
光明路,30.93,0.947600662,6.90%,中山路,育仁路
廣州街218巷,40.38164251,2.338643605,19.20%,廣州街,和平西路3段
廣州街8巷,113.4065041,1.240017091,19.10%,廣州街,中華路二段75巷
廣州街A,59.97226502,1.295790487,19.20%,康定路,中華路二段
廣州街B,28.4124424,1.094196804,23.70%,中華路二段,延平南路
歸綏街,43.02557756,1.268763154,17.50%,重慶北路二段,環河北路二段
桂林路,24.89042676,1.7602903,19.20%,昆明街,華西街
